"timestamp","ntnx-ahv01","ntnx-ahv02","ntnx-ahv03"
"2024/05/25 14:57:30","164462","202845","177158"
"2024/05/25 14:58:00","193554","268271","207359"
"2024/05/25 14:58:30","193326","181560","154126"
"2024/05/25 14:59:00","191317","205354","200915"
"2024/05/25 14:59:30","262172","206300","193556"
"2024/05/25 15:00:00","316645","438897","363954"
"2024/05/25 15:00:30","283839","216222","201802"
"2024/05/25 15:01:00","199470","222202","267645"
"2024/05/25 15:01:30","160490","204402","180993"
"2024/05/25 15:02:00","217654","226958","221630"
"2024/05/25 15:02:30","309688","182242","164756"
"2024/05/25 15:03:00","278000","240328","200663"
"2024/05/25 15:03:30","182487","320771","182422"
"2024/05/25 15:04:00","204685","326845","234301"
"2024/05/25 15:04:30","245041","239602","314521"
"2024/05/25 15:05:00","235817","298736","322608"
"2024/05/25 15:05:30","262361","234636","220471"
"2024/05/25 15:06:00","202130","246529","318386"
"2024/05/25 15:06:30","207031","202045","172654"
"2024/05/25 15:07:00","299397","249547","240291"
"2024/05/25 15:07:30","168602","166650","146813"
"2024/05/25 15:08:00","197076","297029","242784"
"2024/05/25 15:08:30","215827","220921","196344"
"2024/05/25 15:09:00","213744","204067","198688"
"2024/05/25 15:09:30","178824","165113","139489"
"2024/05/25 15:10:00","214687","325444","261313"
"2024/05/25 15:10:30","242486","212052","184336"
"2024/05/25 15:11:00","238334","213513","272576"
"2024/05/25 15:11:30","160441","171509","150481"
"2024/05/25 15:12:00","210576","255138","243685"
"2024/05/25 15:12:30","220634","243103","217139"
"2024/05/25 15:13:00","257382","246763","224988"
"2024/05/25 15:13:30","162288","168372","147603"
"2024/05/25 15:14:00","197912","241127","248475"
"2024/05/25 15:14:30","187341","264864","186689"
"2024/05/25 15:15:00","255940","308474","237396"
"2024/05/25 15:15:30","235819","199172","163275"
"2024/05/25 15:16:00","204993","229413","308977"
"2024/05/25 15:16:30","192386","240029","216049"
"2024/05/25 15:17:00","242872","211746","219534"
"2024/05/25 15:17:30","183011","193178","173875"
"2024/05/25 15:18:00","207739","261352","204473"
"2024/05/25 15:18:30","172197","226276","204355"
"2024/05/25 15:19:00","224337","203308","197644"
"2024/05/25 15:19:30","195911","189391","168854"
"2024/05/25 15:20:00","211381","281845","220572"
"2024/05/25 15:20:30","269816","273838","264334"
"2024/05/25 15:21:00","228433","207267","270957"
"2024/05/25 15:21:30","156960","168095","155117"
"2024/05/25 15:22:00","215485","216118","215241"
"2024/05/25 15:22:30","185878","229967","206934"
"2024/05/25 15:23:00","222520","261667","206319"
"2024/05/25 15:23:30","171918","172319","148804"
"2024/05/25 15:24:00","196586","208169","211492"
"2024/05/25 15:24:30","245051","287865","239898"
"2024/05/25 15:25:00","214556","281622","226312"
"2024/05/25 15:25:30","265965","188375","156072"
"2024/05/25 15:26:00","208807","211364","267038"
"2024/05/25 15:26:30","175129","226514","203988"
"2024/05/25 15:27:00","208708","213350","209101"
"2024/05/25 15:27:30","199960","182821","144784"
"2024/05/25 15:28:00","195557","256462","202890"
"2024/05/25 15:28:30","190915","253493","234344"
"2024/05/25 15:29:00","192964","207101","224687"
"2024/05/25 15:29:30","207407","160977","138943"
"2024/05/25 15:30:00","272634","383215","261271"
"2024/05/25 15:30:30","320571","299315","276290"
"2024/05/25 15:31:00","195334","230600","274656"
"2024/05/25 15:31:30","187086","169312","144530"
"2024/05/25 15:32:00","211902","218096","207786"
"2024/05/25 15:32:30","199438","217008","209987"
"2024/05/25 15:33:00","195380","276282","217777"
"2024/05/25 15:33:30","188690","165216","140766"
"2024/05/25 15:34:00","247174","207453","211016"
"2024/05/25 15:34:30","180152","189286","169082"
"2024/05/25 15:35:00","225622","329265","273634"
"2024/05/25 15:35:30","249708","177477","147752"
"2024/05/25 15:36:00","214563","224004","282469"
"2024/05/25 15:36:30","188328","217562","194469"
"2024/05/25 15:37:00","218169","251414","245630"
"2024/05/25 15:37:30","186645","168412","150968"
"2024/05/25 15:38:00","216430","255953","199714"
"2024/05/25 15:38:30","181824","187343","170710"
"2024/05/25 15:39:00","193323","247413","250196"
"2024/05/25 15:39:30","175050","165955","140891"
"2024/05/25 15:40:00","433048","294137","238272"
"2024/05/25 15:40:30","259201","225500","193806"
"2024/05/25 15:41:00","294516","272862","340528"
"2024/05/25 15:41:30","160084","186926","142812"
"2024/05/25 15:42:00","249017","216563","209542"
"2024/05/25 15:42:30","188401","235476","178411"
"2024/05/25 15:43:00","213976","261187","255553"
"2024/05/25 15:43:30","159463","188123","140324"
"2024/05/25 15:44:00","227046","208675","216626"
"2024/05/25 15:44:30","193849","207455","188001"
"2024/05/25 15:45:00","218687","293760","261082"
"2024/05/25 15:45:30","211993","205698","147007"
"2024/05/25 15:46:00","239443","228980","282698"
"2024/05/25 15:46:30","170748","186996","163915"
"2024/05/25 15:47:00","207439","218935","217205"
"2024/05/25 15:47:30","164344","194797","176215"
"2024/05/25 15:48:00","221344","261219","200499"
"2024/05/25 15:48:30","185583","213447","188231"
"2024/05/25 15:49:00","184888","212965","196016"
"2024/05/25 15:49:30","180660","187194","177348"
"2024/05/25 15:50:00","239545","293074","225814"
"2024/05/25 15:50:30","229971","198823","167574"
"2024/05/25 15:51:00","241166","260639","361930"
"2024/05/25 15:51:30","155606","195462","175467"
"2024/05/25 15:52:00","207097","221437","207843"
"2024/05/25 15:52:30","232376","214254","256886"
"2024/05/25 15:53:00","189692","248865","200957"
"2024/05/25 15:53:30","157931","191291","179437"
"2024/05/25 15:54:00","189513","213247","217254"
"2024/05/25 15:54:30","210283","179552","164089"
"2024/05/25 15:55:00","213701","297859","229009"
"2024/05/25 15:55:30","215867","200363","178219"
"2024/05/25 15:56:00","211329","231408","276151"
"2024/05/25 15:56:30","238427","214857","207049"
"2024/05/25 15:57:00","209946","220204","212798"
"2024/05/25 15:57:30","165273","190972","174256"
"2024/05/25 15:58:00","214323","288695","216270"
